Company_name,Field,Company_age,Ratings,Highly_rated_for,Critically_rated_for,Total_reviews,Avg_salary,Interviews_taken,Total_jobs_available,Total_benefits
Colgate Palmolive,FMCG ,87,4.2,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,766,37000,48,30,120
Tube Investments of India,Engineering & Construction ,75,4.1,"Skill Development / Learning, Job Security, Work Satisfaction",Promotions / Appraisal,764,28000,30,17,60
Imperial Auto Industries,Auto Components ,55,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",763,41000,38,7,69
Acuity Knowledge Partners,Financial Services ,22,3.5,Job Security,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",763,74000,72,173,86
Secure Meters,Electronics Manufacturing ,37,4.1,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,760,4000,42,31,108
Diageo,Beverage ,27,4.1,"Work Life Balance, Salary & Benefits, Company Culture",Promotions / Appraisal,757,55000,44,28,108
Ahluwalia Contracts India,Engineering & Construction ,59,4.1,Job Security,Promotions / Appraisal,757,28000,29,18,73
Dassault Systemes,Software Product ,43,4.1,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",754,58000,80,5,148
Pricol,Auto Components ,49,4.0,"Skill Development / Learning, Work Satisfaction, Company Culture",Promotions / Appraisal,754,4000,29,2,94
FLSmidth,Industrial Machinery ,142,3.7,Work Life Balance,"Job Security, Promotions / Appraisal, Salary & Benefits",751,45000,25,26,113
SLK Global Services,BPO ,24,3.9,Job Security,"Salary & Benefits, Promotions / Appraisal",749,36000,19,5,102
PayPal,FinTech ,26,3.9,"Salary & Benefits, Company Culture, Work Life Balance",Promotions / Appraisal,744,71000,124,26,125
eClinicalWorks,Software Product ,25,3.9,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal,740,48000,33,12,169
eClinicalWorks,Software Product ,25,3.9,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal,740,48000,33,12,169
LOREAL,Beauty & Personal Care ,33,4.1,"Company Culture, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal,737,35000,48,45,106
Nirma,FMCG ,34,4.2,"Job Security, Work Life Balance, Work Satisfaction",Promotions / Appraisal,736,31000,29,1,124
Hikal,Pharma ,36,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,727,39000,46,24,88
CADD Centre Training Services,Education & Training ,36,4.1,"Skill Development / Learning, Company Culture, Work Satisfaction",Promotions / Appraisal,717,26000,22,17,94
C&S Electric,Electrical Equipment ,58,4.0,Job Security,"Promotions / Appraisal, Salary & Benefits",717,35000,30,10,95
Better.com,Financial Services ,8,3.0,Salary & Benefits,"Job Security, Skill Development / Learning, Promotions / Appraisal",715,42000,40,92,123
Pernod Ricard,Beverage ,49,3.9,Salary & Benefits,Promotions / Appraisal,712,38000,29,17,117
Patra Corporation,BPO ,19,3.8,"Job Security, Company Culture","Salary & Benefits, Promotions / Appraisal",710,33000,48,3,81
TNQ Technologies,Printing & Publishing ,26,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",708,35000,39,10,80
Metropolis Healthcare,Healthcare ,44,4.1,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,708,3000,36,12,71
Otis Elevator,Industrial Machinery ,171,4.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,702,34000,33,72,89
C.R.I. Pumps,Industrial Machinery ,63,3.9,Skill Development / Learning,Promotions / Appraisal,698,29000,16,11,79
Yashoda Hospitals,Healthcare ,35,3.9,Skill Development / Learning,Promotions / Appraisal,695,31000,29,37,86
Suzuki Motorcycle,Automobile ,27,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,689,36000,24,1,95
Suzuki Motorcycle,Automobile ,27,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,689,36000,24,1,95
Willis Towers Watson,Financial Services ,8,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,689,62000,57,30,101
Vertiv,IT Services & Consulting ,8,4.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,689,29000,31,64,10
Huhtamaki,Packaging ,89,3.9,Skill Development / Learning,Promotions / Appraisal,687,27000,16,22,89
Meril,Medical Equipment ,18,3.9,Job Security,"Promotions / Appraisal, Salary & Benefits",686,35000,34,39,75
Centum Electronics,Electronics Manufacturing ,30,3.9,"Job Security, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",684,38000,13,15,110
Gharda Chemicals,Chemicals ,57,4.2,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,683,36000,32,3,108
Aarvi Encon,Recruitment ,37,4.1,"Company Culture, Work Satisfaction","Promotions / Appraisal, Job Security",682,26000,40,9,67
DLF,Real Estate ,78,4.0,Salary & Benefits,Promotions / Appraisal,678,35000,55,13,72
Grant Thornton,Accounting & Auditing ,100,3.7,Job Security,Promotions / Appraisal,677,8000,60,103,85
Bechtel,Engineering & Construction ,126,4.1,"Salary & Benefits, Company Culture, Work Life Balance",Job Security,674,28000,41,2,91
Greaves Cotton,Auto Components ,165,4.1,"Work Life Balance, Company Culture",Promotions / Appraisal,674,28000,15,4,96
Panacea Biotec,Biotechnology ,40,3.9,Work Life Balance,Promotions / Appraisal,670,26000,44,27,99
Timken,Industrial Machinery ,26,3.9,Job Security,Promotions / Appraisal,666,36000,32,1,108
Kohler,Building Material ,151,3.9,Salary & Benefits,"Promotions / Appraisal, Job Security",664,39000,26,56,82
Greenko Group,Power ,20,3.9,Job Security,Promotions / Appraisal,660,31000,30,2,98
Samsung Research,Consumer Electronics & Appliances ,55,3.4,Job Security,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",656,65000,57,4,163
T-SYSTEMS ICT INDIA,IT Services & Consulting ,8,4.0,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,654,62000,50,41,96
